Delay (ps) - A ch X	Lockin Signal - A ch X	Delay (ps) - A ch Y	Lockin Signal - A ch Y	Delay (ps) - B ch X	Lockin Signal - B ch X	Delay (ps) - B ch Y	Lockin Signal - B ch Y
51	8.53E-03	51	-2.20E-03	51	8.53E-03	51	-2.20E-03
51.005	8.54E-03	51.005	-2.20E-03	51.005	8.54E-03	51.005	-2.20E-03
51.01	8.54E-03	51.01	-2.20E-03	51.01	8.54E-03	51.01	-2.20E-03
51.015	8.53E-03	51.015	-2.20E-03	51.015	8.53E-03	51.015	-2.20E-03
51.02	8.53E-03	51.02	-2.20E-03	51.02	8.53E-03	51.02	-2.20E-03
51.025	8.53E-03	51.025	-2.20E-03	51.025	8.53E-03	51.025	-2.20E-03
51.03	8.53E-03	51.03	-2.20E-03	51.03	8.53E-03	51.03	-2.20E-03
51.035	8.54E-03	51.035	-2.20E-03	51.035	8.54E-03	51.035	-2.20E-03
51.04	8.54E-03	51.04	-2.20E-03	51.04	8.54E-03	51.04	-2.20E-03
51.045	8.53E-03	51.045	-2.20E-03	51.045	8.53E-03	51.045	-2.20E-03
51.05	8.54E-03	51.05	-2.20E-03	51.05	8.54E-03	51.05	-2.20E-03
51.055	8.54E-03	51.055	-2.20E-03	51.055	8.54E-03	51.055	-2.20E-03
51.06	8.54E-03	51.06	-2.20E-03	51.06	8.54E-03	51.06	-2.20E-03
51.065	8.53E-03	51.065	-2.20E-03	51.065	8.53E-03	51.065	-2.20E-03
51.07	8.53E-03	51.07	-2.20E-03	51.07	8.53E-03	51.07	-2.20E-03
51.075	8.54E-03	51.075	-2.20E-03	51.075	8.54E-03	51.075	-2.20E-03
51.08	8.54E-03	51.08	-2.20E-03	51.08	8.54E-03	51.08	-2.20E-03
51.085	8.54E-03	51.085	-2.20E-03	51.085	8.54E-03	51.085	-2.20E-03
51.09	8.54E-03	51.09	-2.20E-03	51.09	8.54E-03	51.09	-2.20E-03
51.095	8.54E-03	51.095	-2.20E-03	51.095	8.54E-03	51.095	-2.20E-03
51.1	8.54E-03	51.1	-2.20E-03	51.1	8.54E-03	51.1	-2.20E-03
51.105	8.55E-03	51.105	-2.20E-03	51.105	8.55E-03	51.105	-2.20E-03
51.11	8.54E-03	51.11	-2.20E-03	51.11	8.54E-03	51.11	-2.20E-03
51.115	8.55E-03	51.115	-2.20E-03	51.115	8.55E-03	51.115	-2.20E-03
51.12	8.55E-03	51.12	-2.20E-03	51.12	8.55E-03	51.12	-2.20E-03
51.125	8.55E-03	51.125	-2.20E-03	51.125	8.55E-03	51.125	-2.20E-03
51.13	8.55E-03	51.13	-2.20E-03	51.13	8.55E-03	51.13	-2.20E-03
51.135	8.55E-03	51.135	-2.20E-03	51.135	8.55E-03	51.135	-2.20E-03
51.14	8.55E-03	51.14	-2.20E-03	51.14	8.55E-03	51.14	-2.20E-03
51.145	8.55E-03	51.145	-2.20E-03	51.145	8.55E-03	51.145	-2.20E-03
51.15	8.55E-03	51.15	-2.20E-03	51.15	8.55E-03	51.15	-2.20E-03
51.155	8.56E-03	51.155	-2.20E-03	51.155	8.56E-03	51.155	-2.20E-03
51.16	8.56E-03	51.16	-2.20E-03	51.16	8.56E-03	51.16	-2.20E-03
51.165	8.56E-03	51.165	-2.20E-03	51.165	8.56E-03	51.165	-2.20E-03
51.17	8.56E-03	51.17	-2.20E-03	51.17	8.56E-03	51.17	-2.20E-03
51.175	8.57E-03	51.175	-2.20E-03	51.175	8.57E-03	51.175	-2.20E-03
51.18	8.57E-03	51.18	-2.20E-03	51.18	8.57E-03	51.18	-2.20E-03
51.185	8.57E-03	51.185	-2.20E-03	51.185	8.57E-03	51.185	-2.20E-03
51.19	8.57E-03	51.19	-2.20E-03	51.19	8.57E-03	51.19	-2.20E-03
51.195	8.57E-03	51.195	-2.20E-03	51.195	8.57E-03	51.195	-2.20E-03
51.2	8.57E-03	51.2	-2.20E-03	51.2	8.57E-03	51.2	-2.20E-03
51.205	8.57E-03	51.205	-2.20E-03	51.205	8.57E-03	51.205	-2.20E-03
51.21	8.58E-03	51.21	-2.20E-03	51.21	8.58E-03	51.21	-2.20E-03
51.215	8.57E-03	51.215	-2.20E-03	51.215	8.57E-03	51.215	-2.20E-03
51.22	8.57E-03	51.22	-2.20E-03	51.22	8.57E-03	51.22	-2.20E-03
51.225	8.58E-03	51.225	-2.20E-03	51.225	8.58E-03	51.225	-2.20E-03
51.23	8.59E-03	51.23	-2.20E-03	51.23	8.59E-03	51.23	-2.20E-03
